bookmaker,team_a,team_b,odd_1,odd_x,odd_2,date
zebet,marseille,benfica lisbonne,2.37,3.55,2.82,18/04 21:00
zebet,atalanta bergame,liverpool,4.7,4.8,1.55,18/04 21:00
zebet,west ham,bayer leverkusen,3.8,3.8,1.82,18/04 21:00
zebet,as rome,milan ac,3.05,3.6,2.12,18/04 21:00
zebet,lille,aston villa,2.42,3.65,2.67,18/04 18:45
zebet,fiorentina,fc viktoria plzen,1.4,4.3,7.5,18/04 18:45
zebet,fenerbahce,olympiakos,1.53,4.4,4.9,18/04 21:00
zebet,paok salonique,fc bruges,1.9,3.75,3.55,18/04 21:00
zebet,nice,lorient,1.47,4.2,6.2,19/04 21:00
zebet,lens,clermont,1.34,4.7,7.0,20/04 21:00
zebet,lille,strasbourg,1.5,4.0,5.4,21/04 15:00
zebet,nantes,rennes,2.85,3.25,2.27,20/04 17:00
zebet,brest,monaco,2.5,3.4,2.5,21/04 17:05
zebet,le havre,metz,2.1,3.1,3.3,21/04 15:00
zebet,reims,montpellier,1.9,3.6,3.4,21/04 15:00
zebet,paris sg,lyon,1.39,5.0,5.5,21/04 21:00
zebet,toulouse,marseille,2.87,3.25,2.25,21/04 19:00
zebet,lorient,paris sg,6.1,4.9,1.35,24/04 19:00
zebet,paris sg,le havre,1.28,4.9,7.75,27/04 21:00
zebet,marseille,nice,2.0,3.35,3.2,24/04 21:00
zebet,monaco,lille,2.07,3.45,2.95,24/04 21:00
zebet,metz,lille,4.5,3.8,1.6,28/04 13:00
zebet,athletic bilbao,grenade cf,1.21,5.8,11.5,19/04 21:00
zebet,girona fc,c\xc3\xa1diz cf,1.36,4.7,6.5,20/04 21:00
zebet,deportivo alav\xc3\xa9s,atletico de madrid,3.7,3.25,1.87,21/04 18:30
zebet,ud almeria,villarreal cf,3.1,3.55,1.98,21/04 16:15
zebet,real madrid,fc barcelone,1.75,3.75,3.6,21/04 21:00
zebet,getafe cf,real sociedad,3.55,2.97,2.07,21/04 14:00
zebet,celta vigo,ud las palmas,1.71,3.65,4.4,20/04 14:00
zebet,fc s\xc3\xa9ville,real majorque,1.85,3.05,4.1,22/04 21:00
zebet,valence cf,real betis,2.1,3.1,3.25,20/04 18:30
zebet,rayo vallecano,ca osasuna,2.15,3.05,3.3,20/04 16:15
zebet,real sociedad,real madrid,2.75,3.25,2.27,27/04 21:00
zebet,grenade cf,ca osasuna,2.57,3.0,2.57,28/04 16:15
zebet,fc barcelone,valence cf,1.34,4.7,6.5,27/04 14:00
zebet,real betis,fc s\xc3\xa9ville,2.1,3.2,3.15,28/04 21:00
zebet,al shabab riyadh,abha,1.27,4.7,6.0,18/04 20:00
zebet,al fateh sc,al raed,1.78,3.5,3.15,18/04 20:00
zebet,al nassr,al faiha,1.39,4.5,4.5,19/04 17:00
zebet,al riyadh,al tai,2.32,3.15,2.42,19/04 17:00
zebet,fk jelgava,valmiera fk,6.1,3.55,1.34,18/04 18:30
zebet,independiente del valle,mushuc runa,1.14,5.0,7.0,18/04 23:30
zebet,barcelone,el nacional,1.26,4.1,5.6,19/04 02:00
zebet,imbabura ibarra,universidad catolica,4.1,3.65,1.43,18/04 21:00
zebet,delfin sc,csd macara,1.9,2.95,2.82,19/04 21:00
zebet,sd aucas,cs emelec,1.91,2.92,2.82,20/04 02:00
zebet,orense sc,ldu quito,3.0,2.92,1.83,19/04 23:30
zebet,cagliari,juventus turin,4.5,3.6,1.7,19/04 20:45
zebet,genoa,lazio rome,2.8,3.1,2.5,19/04 18:30
zebet,empoli,naples,4.4,3.85,1.63,20/04 18:00
zebet,torino,frosinone calcio,1.62,3.75,4.7,21/04 15:00
zebet,ac monza,atalanta bergame,3.7,3.6,1.77,21/04 20:45
zebet,as rome,bologne,2.15,3.0,3.2,22/04 18:30
zebet,milan ac,inter milan,3.15,3.45,1.99,22/04 20:45
zebet,sassuolo,us lecce,2.2,3.25,2.92,21/04 12:30
zebet,us salernitana 1919,fiorentina,4.7,3.9,1.57,21/04 18:00
zebet,hellas verone,udinese,2.5,3.05,2.7,20/04 20:45
zebet,america de cali,deportivo pasto,1.27,4.0,6.5,19/04 03:20
zebet,la equidad,fortaleza fc,1.98,2.9,2.95,18/04 23:00
zebet,patriotas,independiente medellin,2.1,2.85,2.77,19/04 01:10
zebet,atletico bucaramanga,boyaco chico fc,1.51,3.3,4.5,20/04 03:10
zebet,fulham,liverpool,5.0,4.7,1.45,21/04 17:30
zebet,wolverhampton,arsenal,7.5,4.9,1.31,20/04 20:30
zebet,aston villa,bournemouth,1.68,4.1,3.8,21/04 16:00
zebet,crystal palace,west ham,2.07,3.45,3.05,21/04 16:00
zebet,luton town,brentford fc,2.92,3.6,2.07,20/04 16:00
zebet,everton,nottingham forest,1.93,3.45,3.4,21/04 14:30
zebet,manchester united,sheffield united,1.23,5.8,8.0,24/04 21:00
zebet,brighton,manchester city,5.5,4.9,1.38,25/04 21:00
zebet,sheffield united,burnley fc,2.6,3.5,2.32,20/04 16:00
zebet,everton,liverpool,5.1,4.4,1.45,24/04 21:00
zebet,arsenal,chelsea,1.43,4.5,5.1,23/04 21:00
zebet,crystal palace,newcastle,2.8,3.5,2.12,24/04 21:00
zebet,botafogo rj,atletico go,1.65,3.35,4.1,19/04 02:30
zebet,saint-\xc3\x89tienne,bordeaux,1.63,3.9,4.2,20/04 19:00
zebet,rodez,auxerre,2.92,3.45,2.1,20/04 15:00
zebet,ac ajaccio,caen,2.5,2.77,2.87,20/04 19:00
zebet,paris fc,valenciennes,1.34,4.3,7.75,20/04 19:00
zebet,angers,troyes,1.6,3.6,4.8,20/04 19:00
zebet,pau,laval,2.42,3.0,2.75,20/04 19:00
zebet,amiens,dunkerque,1.99,3.3,3.3,20/04 19:00
zebet,annecy fc,grenoble foot,1.91,3.15,3.7,20/04 19:00
zebet,concarneau,quevilly - rouen m\xc3\xa9tropole,3.2,3.1,2.1,20/04 19:00
zebet,guingamp,bastia,1.68,3.35,4.7,20/04 19:00
zebet,coventry city,manchester united,5.0,4.5,1.4,21/04 16:30
zebet,manchester city,chelsea,1.48,4.0,4.7,20/04 18:15
zebet,italie,albanie,1.29,4.6,7.75,15/06 21:00
zebet,allemagne,\xc3\x89cosse,1.17,5.8,10.5,14/06 21:00
zebet,autriche,france,6.2,4.4,1.36,17/06 21:00
zebet,belgique,slovaquie,1.39,4.3,5.9,17/06 18:00
zebet,serbie,angleterre,5.5,4.1,1.43,16/06 21:00
zebet,portugal,r\xc3\xa9publique tch\xc3\xa8que,1.48,3.75,5.5,18/06 21:00
zebet,espagne,croatie,1.62,3.5,4.5,15/06 18:00
zebet,slov\xc3\xa9nie,danemark,4.0,3.3,1.73,16/06 18:00
zebet,hongrie,suisse,3.1,3.3,2.0,15/06 15:00
zebet,pologne,pays-bas,4.3,3.7,1.6,16/06 15:00
zebet,roumanie,ukraine,3.05,3.2,2.07,17/06 15:00
zebet,turquie,g\xc3\xa9orgie,1.67,3.55,4.2,18/06 18:00
zebet,fc heidenheim 1846,rb leipzig,5.8,5.1,1.39,20/04 15:30
zebet,union berlin,bayern munich,4.6,4.3,1.55,20/04 18:30
zebet,borussia dortmund,bayer leverkusen,2.3,3.7,2.55,21/04 17:30
zebet,werder br\xc3\xaame,vfb stuttgart,4.5,4.4,1.53,21/04 15:30
zebet,eintracht francfort,augsbourg,1.98,3.7,3.2,19/04 20:30
zebet,fc cologne,darmstadt,1.47,4.5,5.4,20/04 15:30
zebet,wolfsburg,bochum,1.7,3.95,4.1,20/04 15:30
zebet,hoffenheim,borussia m\xc3\xb6nchengladbach,2.02,3.9,2.97,20/04 15:30
zebet,bayer leverkusen,vfb stuttgart,1.72,3.9,3.65,27/04 18:30
zebet,fribourg,mayence,2.45,3.4,2.5,21/04 19:30
zebet,leicester,west bromwich albion,1.42,3.9,4.9,20/04 13:30
