date,team_a,team_b,bookmaker_odd_1,value_odd_1,bookmaker_odd_x,value_odd_x,bookmaker_odd_2,value_odd_2,ratio
18/04 21:00,marseille,benfica lisbonne,unibet,2.4,unibet,3.6,unibet,2.9,1.039272030651341
18/04 21:00,atalanta bergame,liverpool,unibet,4.8,zebet,4.8,unibet,1.56,1.0576923076923077
18/04 21:00,west ham,bayer leverkusen,unibet,3.9,unibet,3.85,unibet,1.84,1.0596287770200814
18/04 21:00,as rome,milan ac,unibet,3.2,zebet,3.6,unibet,2.2,1.0448232323232323
18/04 18:45,lille,aston villa,unibet,2.52,unibet,3.75,zebet,2.67,1.038023898698056
18/04 18:45,fiorentina,fc viktoria plzen,unibet,1.41,zebet,4.3,unibet,7.75,1.0708102557554282
18/04 21:00,fenerbahce,olympiakos,unibet,1.55,unibet,4.45,unibet,4.95,1.0719005934663781
18/04 21:00,paok salonique,fc bruges,zebet,1.9,zebet,3.75,unibet,3.68,1.0647215865751334
19/04 21:00,nice,lorient,zebet,1.47,zebet,4.2,zebet,6.2,1.0796576695194207
20/04 21:00,lens,clermont,unibet,1.35,zebet,4.7,unibet,7.65,1.0842256524359153
21/04 15:00,lille,strasbourg,zebet,1.5,unibet,4.05,unibet,5.65,1.090571397356058
20/04 17:00,nantes,rennes,unibet,2.98,unibet,3.3,zebet,2.27,1.0791294071901942
21/04 17:05,brest,monaco,unibet,2.58,unibet,3.45,zebet,2.5,1.0774519716885744
21/04 15:00,le havre,metz,zebet,2.1,unibet,3.18,unibet,3.42,1.083053545814221
21/04 15:00,reims,montpellier,zebet,1.9,unibet,3.62,unibet,3.52,1.0866497924872454
21/04 21:00,paris sg,lyon,unibet,1.41,zebet,5.0,unibet,5.75,1.0831329016342894
21/04 19:00,toulouse,marseille,unibet,2.95,unibet,3.28,zebet,2.25,1.0883055440723899
24/04 19:00,lorient,paris sg,unibet,6.3,zebet,4.9,unibet,1.36,1.0981059090302787
27/04 21:00,paris sg,le havre,unibet,1.3,zebet,4.9,zebet,7.75,1.1023446599483466
24/04 21:00,marseille,nice,unibet,2.01,zebet,3.35,unibet,3.3,1.0990502035278156
24/04 21:00,monaco,lille,zebet,2.07,unibet,3.48,unibet,3.05,1.0983169617377104
28/04 13:00,metz,lille,zebet,4.5,zebet,3.8,zebet,1.6,1.1103801169590644
19/04 21:00,athletic bilbao,grenade cf,unibet,1.22,zebet,5.8,zebet,11.5,1.0790424459901198
21/04 16:15,ud almeria,villarreal cf,unibet,3.22,unibet,3.68,zebet,1.98,1.087348641696468
